set,rank,prop
baseline,0,view(v_v).
baseline,0,"encoding(v_v,e0)."
baseline,0,"encoding(v_v,e1)."
baseline,0,"encoding(v_v,1)."
baseline,0,"type(v_v,e1,nominal)."
baseline,0,"type(v_v,e0,ordinal)."
baseline,0,"aggregate(v_v,1,count)."
baseline,0,"channel(v_v,e0,x)."
baseline,0,"channel(v_v,e1,y)."
baseline,0,"channel(v_v,1,size)."
baseline,0,"field(v_v,e0,""QoL_all"")."
baseline,0,"field(v_v,e1,""region"")."
baseline,0,"zero(v_v,1)."
baseline,0,"type(v_v,1,quantitative)."
baseline,0,"mark(v_v,point)."
baseline,1,view(v_v).
baseline,1,"encoding(v_v,e0)."
baseline,1,"encoding(v_v,e1)."
baseline,1,"encoding(v_v,1)."
baseline,1,"type(v_v,e1,nominal)."
baseline,1,"type(v_v,e0,ordinal)."
baseline,1,"aggregate(v_v,1,count)."
baseline,1,"channel(v_v,e1,x)."
baseline,1,"channel(v_v,e0,y)."
baseline,1,"channel(v_v,1,size)."
baseline,1,"field(v_v,e0,""QoL_all"")."
baseline,1,"field(v_v,e1,""region"")."
baseline,1,"zero(v_v,1)."
baseline,1,"type(v_v,1,quantitative)."
baseline,1,"mark(v_v,point)."
baseline,2,view(v_v).
baseline,2,"encoding(v_v,e0)."
baseline,2,"encoding(v_v,e1)."
baseline,2,"encoding(v_v,1)."
baseline,2,"type(v_v,e1,nominal)."
baseline,2,"type(v_v,e0,ordinal)."
baseline,2,"bin(v_v,e0,10)."
baseline,2,"aggregate(v_v,1,count)."
baseline,2,"channel(v_v,e0,x)."
baseline,2,"channel(v_v,e1,y)."
baseline,2,"channel(v_v,1,size)."
baseline,2,"field(v_v,e0,""QoL_all"")."
baseline,2,"field(v_v,e1,""region"")."
baseline,2,"zero(v_v,1)."
baseline,2,"type(v_v,1,quantitative)."
baseline,2,"mark(v_v,point)."
baseline,3,view(v_v).
baseline,3,"encoding(v_v,e0)."
baseline,3,"encoding(v_v,e1)."
baseline,3,"encoding(v_v,1)."
baseline,3,"type(v_v,e1,nominal)."
baseline,3,"type(v_v,e0,ordinal)."
baseline,3,"aggregate(v_v,1,count)."
baseline,3,"channel(v_v,e0,x)."
baseline,3,"channel(v_v,e1,y)."
baseline,3,"channel(v_v,1,size)."
baseline,3,"field(v_v,e0,""QoL_all"")."
baseline,3,"field(v_v,e1,""region"")."
baseline,3,"type(v_v,1,quantitative)."
